,Modelo,Hora,Error
138,LSTM,15,0.46697944006756953
139,LSTM,16,0.07627401217105445
140,LSTM,17,0.08417813856925038
141,LSTM,18,0.0882068544329555
142,LSTM,19,0.6648507777384884
143,LSTM,20,0.883807674952275
144,LSTM,21,0.7214197779053813
145,LSTM,22,0.2862486616597947
146,LSTM,23,0.037161830140124974
147,LSTM,0,0.008708872766466702
148,LSTM,1,0.06015704316668491
149,LSTM,2,0.5981943828583941
150,LSTM,3,0.11708140146195278
151,LSTM,4,0.07183570028868391
152,LSTM,5,0.10717087291089789
153,LSTM,6,0.0003623577480003082
154,LSTM,7,0.08793382595721333
155,LSTM,8,0.006426510360011628
156,LSTM,9,0.09004395974103563
157,LSTM,10,0.23836011600358353
158,LSTM,11,0.3041712984850051
159,LSTM,12,0.4873772178522595
160,LSTM,13,1.3576417182515246
161,LSTM,14,0.3631211029958086
162,LSTM,15,0.24402932815463174
163,LSTM,16,0.31423257455567544
164,LSTM,17,0.41791944260179303
165,LSTM,18,0.3917871806300248
166,LSTM,19,1.3390482764942697
167,LSTM,20,0.19016502632025878
168,LSTM,21,0.5017893380454013
169,LSTM,22,0.08222933252495046
170,LSTM,23,0.0797889206396637
171,LSTM,0,0.007987868634703355
172,LSTM,1,0.02283018058593156
173,LSTM,2,0.10002522409593861
174,LSTM,3,0.16455056295934645
175,LSTM,4,0.22140221316384656
176,LSTM,5,0.14773788307033175
177,LSTM,6,0.29884384584386237
178,LSTM,7,0.6296980150038167
179,LSTM,8,0.04488594537811341
180,LSTM,9,0.6124169969289617
181,LSTM,10,0.10960408861418047
182,LSTM,11,0.7503581044289558
183,LSTM,12,0.2519570420382855
184,LSTM,13,0.6172239465607575
185,LSTM,14,0.45409289046991186
186,LSTM,15,0.516335227266242
187,LSTM,16,1.0662658835238812
188,LSTM,17,0.12223895840937438
189,LSTM,18,0.6710651872970592
190,LSTM,19,1.3684990511341175
191,LSTM,20,0.09997426446633906
192,LSTM,21,0.8676806579456255
193,LSTM,22,1.1019621712200736
194,LSTM,23,0.31285817042419906
195,LSTM,0,0.40195992339442155
196,LSTM,1,0.7026916875870709
197,LSTM,2,0.40171630598105534
198,LSTM,3,0.06879981766881726
199,LSTM,4,0.007040691167802482
200,LSTM,5,0.023618775523482016
201,LSTM,6,0.28323575351728947
202,LSTM,7,1.2455416072566807
203,LSTM,8,0.7165759211882881
204,LSTM,9,0.6494576113811059
205,LSTM,10,0.7632226923452379
206,LSTM,11,0.15176385372386503
207,LSTM,12,0.03166400039401096
208,LSTM,13,0.2276814150129809
209,LSTM,14,0.07613331348661045
210,LSTM,15,0.8261125855749688
211,LSTM,16,0.02467997249635967
212,LSTM,17,0.0471100453628609
213,LSTM,18,2.287361567440756
214,LSTM,19,0.03464018135576907
215,LSTM,20,0.08974395890904052
216,LSTM,21,0.08982476936769457
217,LSTM,22,0.49410094385530545
218,LSTM,23,0.3952140358160555
219,LSTM,0,0.22951081774106386
220,LSTM,1,0.38824113534798477
221,LSTM,2,0.11157930731168819
222,LSTM,3,0.06976517215841016
223,LSTM,4,0.01604460739643898
224,LSTM,5,0.07482451454773842
225,LSTM,6,0.08463808120941907
226,LSTM,7,0.2630966784756482
227,LSTM,8,0.08111293817084819
228,LSTM,9,0.648348279946378
229,LSTM,10,0.5291939649530799
230,LSTM,11,3.3281876416062177
231,LSTM,12,0.5776482970931038
232,LSTM,13,0.3616721117704853
233,LSTM,14,2.4297688920177816
234,LSTM,15,2.138829492402426
235,LSTM,16,0.005491699665147731
236,LSTM,17,1.244866032355385
237,LSTM,18,0.9717928869795025
238,LSTM,19,1.1151017065939657
239,LSTM,20,0.49281661193524773
240,LSTM,21,0.3538981030039343
241,LSTM,22,0.4560966806752287
242,LSTM,23,1.2895417292826106
243,LSTM,0,0.9114395213067341
244,LSTM,1,0.5890133472686149
245,LSTM,2,0.010661276901768768
246,LSTM,3,0.06002431358749738
247,LSTM,4,0.02392320067478315
248,LSTM,5,0.08430423166947865
249,LSTM,6,1.3824953053018658
250,LSTM,7,0.8759490177633347
251,LSTM,8,0.5739742463920994
252,LSTM,9,0.39932205627069894
253,LSTM,10,0.07149198931414524
254,LSTM,11,0.04866585991215677
255,LSTM,12,0.7807536578083698
256,LSTM,13,0.1594806928222715
257,LSTM,14,0.3345732359772735
258,LSTM,15,0.1457507773462542
259,LSTM,16,0.08718824819653193
260,LSTM,17,0.18451175904285555
261,LSTM,18,0.11757063522813072
262,LSTM,19,0.17780100032657153
263,LSTM,20,1.1578191758089709
264,LSTM,21,0.8058607103804123
265,LSTM,22,0.49948302168125636
266,LSTM,23,0.006117714194456059
267,LSTM,0,0.026652792466532738
268,LSTM,1,0.05579642339743318
269,LSTM,2,0.04754218941847277
270,LSTM,3,0.051678768054662094
271,LSTM,4,0.2672592166721044
272,LSTM,5,0.3073904047273467
273,LSTM,6,0.38442635931001023
274,LSTM,7,0.3614968314336324
275,LSTM,8,0.04405897080320753
276,LSTM,9,0.5103329451616376
277,LSTM,10,0.126061490332398
278,LSTM,11,0.25137136610698896
279,LSTM,12,0.2515565078784401
280,LSTM,13,0.39697258280392367
281,LSTM,14,0.09382072927701779
282,LSTM,15,0.07590612735548707
283,LSTM,16,0.25186258548634965
284,LSTM,17,0.3966806576872889
285,LSTM,18,0.25243294537703564
286,LSTM,19,0.844206925468316
287,LSTM,20,1.5440150229687482
288,LSTM,21,0.477722540223978
289,LSTM,22,1.209093598392578
290,LSTM,23,0.6085794729600964
291,LSTM,0,0.06352736168206263
292,LSTM,1,0.0295705510914277
293,LSTM,2,0.04424996280410276
294,LSTM,3,0.0630657932378117
295,LSTM,4,0.03283841729708725
296,LSTM,5,0.05256896242110065
297,LSTM,6,0.38928530135678596
298,LSTM,7,0.64771930698669
299,LSTM,8,1.8422117987878082
300,LSTM,9,0.18563494979107276
301,LSTM,10,0.19773962088771713
302,LSTM,11,0.016970036402171873
303,LSTM,12,0.22477231845901668
304,LSTM,13,0.4599794206543535
305,LSTM,14,0.0009614632208054807
306,LSTM,15,0.15199778294405153
307,LSTM,16,0.19874845897338322
308,LSTM,17,0.1729921641956742
309,LSTM,18,0.10409037396260556
310,LSTM,19,0.40393416927473247
311,LSTM,20,0.8656100765102996
312,LSTM,21,0.7690957363515529
313,LSTM,22,0.19286550022741777
314,LSTM,23,0.024684236900510248
315,LSTM,0,0.17047997705802753
316,LSTM,1,0.15584782027384625
317,LSTM,2,0.6769403951553243
318,LSTM,3,0.18303520910570903
319,LSTM,4,0.05684621308920812
320,LSTM,5,0.07644546787043471
321,LSTM,6,0.25395879332536786
322,LSTM,7,0.20390536293391937
323,LSTM,8,0.22018771086175448
324,LSTM,9,0.28928098616744813
325,LSTM,10,0.5354880522379523
326,LSTM,11,0.8173466697398561
327,LSTM,12,0.6771251987728528
328,LSTM,13,0.5395190202400992
329,LSTM,14,0.5574632597704767
330,LSTM,15,0.5408838427885001
331,LSTM,16,1.3204900160712572
332,LSTM,17,0.5627476161100642
333,LSTM,18,0.48714069001079374
334,LSTM,19,0.10850312607259816
335,LSTM,20,0.17816496638793433
336,LSTM,21,0.46175084081225104
337,LSTM,22,0.6199894059892925
338,LSTM,23,0.06196181229766673
339,LSTM,0,0.0014992578892485398
340,LSTM,1,0.18057033020160818
341,LSTM,2,0.10453994877018291
342,LSTM,3,0.2676225439057358
343,LSTM,4,0.202721031291193
344,LSTM,5,0.013645080485946148
345,LSTM,6,0.12351756003635528
346,LSTM,7,0.6769686151829475
347,LSTM,8,1.340852932352016
348,LSTM,9,0.6019849050977619
349,LSTM,10,0.08876643754135527
350,LSTM,11,0.6469398938443265
351,LSTM,12,0.1839973652921889
352,LSTM,13,1.7735944309853222
353,LSTM,14,0.7711170372664133
354,LSTM,15,0.06887440476266393
355,LSTM,16,0.8723674513273463
356,LSTM,17,0.1672050479329934
357,LSTM,18,0.0362384800314155
358,LSTM,19,0.7148520891154584
359,LSTM,20,0.11336641248110224
360,LSTM,21,1.0812217085830933
361,LSTM,22,1.278280304127959
362,LSTM,23,0.23419515909039834
363,LSTM,0,0.08206908421272863
364,LSTM,1,0.05024315639736132
365,LSTM,2,0.13872058727367265
366,LSTM,3,0.061515202583600326
367,LSTM,4,0.0127013678474176
368,LSTM,5,0.027449969517436168
369,LSTM,6,0.04489426096620719
370,LSTM,7,0.08243178511200033
371,LSTM,8,0.4032066086215875
372,LSTM,9,0.13881824212872163
373,LSTM,10,0.2873313938736328
374,LSTM,11,1.3878399363288694
375,LSTM,12,0.06149622598513016
376,LSTM,13,0.7730170158831888
377,LSTM,14,0.7781466010046352
378,LSTM,15,0.15835023926073544
379,LSTM,16,1.0926620987863092
380,LSTM,17,0.9574199793151521
381,LSTM,18,0.5493649563945358
382,LSTM,19,0.8191738070032344
383,LSTM,20,0.21445272693981532
384,LSTM,21,1.112494609811442
385,LSTM,22,0.16242792914085735
386,LSTM,23,0.05223500627105648
387,LSTM,0,0.14586106549859912
388,LSTM,1,0.062433382102277224
389,LSTM,2,0.046027473064178315
390,LSTM,3,0.005427040637213998
391,LSTM,4,0.022841214731671222
392,LSTM,5,0.6662511147777056
393,LSTM,6,0.05512928402059725
394,LSTM,7,0.015226907900560693
395,LSTM,8,0.29151711976765804
396,LSTM,9,0.43394255473606036
397,LSTM,10,0.42712753050540275
398,LSTM,11,0.5654678262126823
399,LSTM,12,0.3833166547399194
400,LSTM,13,0.3665827863701132
401,LSTM,14,0.5627932852132644
402,LSTM,15,0.43473950524049343
403,LSTM,16,0.7800102788810788
404,LSTM,17,0.2691452560178127
405,LSTM,18,0.5021210620463977
406,LSTM,19,0.8058962381974921
407,LSTM,20,0.5977393442829988
408,LSTM,21,0.07448453492683149
409,LSTM,22,0.026567024638053827
410,LSTM,23,0.04332698583075656
411,LSTM,0,0.1875498804749014
412,LSTM,1,0.500818406514755
413,LSTM,2,0.03687291675892157
414,LSTM,3,0.1384170683082534
415,LSTM,4,0.035293061631226696
416,LSTM,5,0.04288103576670721
417,LSTM,6,0.03200813780896461
418,LSTM,7,0.11736850247139219
419,LSTM,8,0.04519639400027753
420,LSTM,9,0.05408847623006452
421,LSTM,10,0.03169049300479654
422,LSTM,11,2.020912267726955
423,LSTM,12,0.30588048582772176
424,LSTM,13,0.2771238362472257
425,LSTM,14,0.785026457504645
426,LSTM,15,0.3447396021248388
427,LSTM,16,0.5771649402088957
428,LSTM,17,0.11860351389219592
429,LSTM,18,0.2547666180603849
430,LSTM,19,0.32735073460376274
431,LSTM,20,0.4739498618507276
432,LSTM,21,0.5729418741260269
433,LSTM,22,0.5745211029193622
434,LSTM,23,0.23531994232704045
435,LSTM,0,0.12808052578255325
436,LSTM,1,0.07502803323582596
437,LSTM,2,0.10815376476256011
438,LSTM,3,0.08256387503056539
439,LSTM,4,0.013643481334389751
440,LSTM,5,0.00456019388349993
441,LSTM,6,0.5539548786720488
442,LSTM,7,1.0939223834648364
443,LSTM,8,0.5021184900776445
444,LSTM,9,1.1318157721369975
445,LSTM,10,0.2792352093735043
446,LSTM,11,0.2544678698971091
447,LSTM,12,0.04880690507943808
448,LSTM,13,0.2882373265566398
449,LSTM,14,0.607135519062176
450,LSTM,15,0.1901770199569327
451,LSTM,16,0.16732898217862036
452,LSTM,17,0.24132460316958515
453,LSTM,18,0.41528753231761817
454,LSTM,19,0.53473529162153
455,LSTM,20,0.6235325794616624
456,LSTM,21,0.22655148117570045
457,LSTM,22,0.5265622212471922
458,LSTM,23,0.18909183571070776
459,LSTM,0,0.02282071893922244
460,LSTM,1,0.03811153959699043
461,LSTM,2,0.04634032041367697
462,LSTM,3,0.048387500931226124
463,LSTM,4,0.02274787758582497
464,LSTM,5,0.07697404076490211
465,LSTM,6,0.0276935736045395
466,LSTM,7,0.6307724682767843
467,LSTM,8,0.7147753831457995
468,LSTM,9,0.23078971254583003
469,LSTM,10,0.24672167304137815
470,LSTM,11,0.20850017844861712
471,LSTM,12,0.6405636234957139
472,LSTM,13,0.0770998939923967
473,LSTM,14,0.04696111104790113
474,LSTM,15,0.07042002472078734
475,LSTM,16,0.4706226004910079
476,LSTM,17,0.6643612774470509
477,LSTM,18,0.881211199201339
478,LSTM,19,0.9517618612780273
479,LSTM,20,0.2634404427552387
480,LSTM,21,0.7029264297092986
481,LSTM,22,0.3835249975352023
482,LSTM,23,0.16988719822856757
483,LSTM,0,0.14729630402053673
484,LSTM,1,0.12008156969705819
485,LSTM,2,0.04090709639044465
486,LSTM,3,0.07861679585381842
487,LSTM,4,0.08828153481064294
488,LSTM,5,0.06433701211510678
489,LSTM,6,0.6361486458998049
490,LSTM,7,0.8957742459857545
491,LSTM,8,0.3473075729992804
492,LSTM,9,0.21631227367473782
493,LSTM,10,0.1781074235844271
494,LSTM,11,0.15554334181749307
495,LSTM,12,0.095065508848579
496,LSTM,13,0.09899803574616195
497,LSTM,14,0.1762823652180724
498,LSTM,15,0.03154624953440244
499,LSTM,16,0.9605618590306874
500,LSTM,17,0.5464752628794569
501,LSTM,18,0.01690788271167687
502,LSTM,19,0.4653845795677696
503,LSTM,20,0.248552075239184
504,LSTM,21,0.008847305986205756
505,LSTM,22,0.09692548202391671
506,LSTM,23,0.10722055321925239
507,LSTM,0,0.03308452672162898
508,LSTM,1,0.05784829475954811
509,LSTM,2,0.8859431286357415
510,LSTM,3,0.0863396317705617
511,LSTM,4,0.12453339441008093
512,LSTM,5,0.1090066455926808
513,LSTM,6,0.11832399552638684
514,LSTM,7,0.04212447716533829
515,LSTM,8,0.5953190417285347
516,LSTM,9,0.6574490781068112
517,LSTM,10,0.4180019854746332
518,LSTM,11,0.6273324500745042
519,LSTM,12,0.42969606108288927
520,LSTM,13,0.5026378012193471
521,LSTM,14,0.19007238214008693
522,LSTM,15,1.0492875581861414
523,LSTM,16,0.38604088937395487
524,LSTM,17,0.675613707374197
525,LSTM,18,0.7856608017812018
526,LSTM,19,0.69856986112399
527,LSTM,20,1.0912729891236443
528,LSTM,21,0.49584301958214183
529,LSTM,22,0.15319049680618646
530,LSTM,23,0.36513464802562
531,LSTM,0,0.25397162651660843
532,LSTM,1,0.3446430666758795
533,LSTM,2,0.3248811781813591
534,LSTM,3,0.31378386595519114
535,LSTM,4,0.31564042760720834
536,LSTM,5,0.2950202211672752
537,LSTM,6,0.04881042321286233
538,LSTM,7,0.11941127199589818
539,LSTM,8,1.0654959187019637
540,LSTM,9,0.5514273688306602
541,LSTM,10,0.2560113576531571
542,LSTM,11,0.5504465225603641
543,LSTM,12,1.3153901618424986
544,LSTM,13,0.9104651316108474
545,LSTM,14,0.7497025997125847
546,LSTM,15,0.747089478626307
547,LSTM,16,0.05183671758652153
548,LSTM,17,0.6647974177157709
549,LSTM,18,1.4608142858308164
550,LSTM,19,1.0121813252151302
551,LSTM,20,0.6078638001664127
552,LSTM,21,0.1993784314027941
553,LSTM,22,0.013494173884066707
554,LSTM,23,0.14626218601401542
555,LSTM,0,0.10383925386318682
556,LSTM,1,0.5344236103200413
557,LSTM,2,0.016371100839219666
558,LSTM,3,0.06382315141495898
559,LSTM,4,0.0664111116838566
